Observation ID,Organization,Dataset,Location name,Body of water,Latitude,Longitude,Region,Country,Water body type,Number of readings,Owner name,Date,Time,Timezone,Added at,Form,Notes,QA status,QA notes,"ph (std_units, api_saltwater_ph)","oxygen (mg_l, ysi_multimeter_do_mgl)","salinity (ppm, water_rangers_pen_type_salinity_meter_ppm)","conductivity (us_cm, other_pen_type_conductivity_meter_us_cm)","water_temperature (deg_c, water_rangers_pen_type_temperature_meter)","total_dissolved_solids_tds (ppm, other_pen-type_tds_meter)","hardness (mg_l, api_saltwater_hardness)","nitrates (mg_l, api_saltwater_nitrates)","nitrites (mg_l, api_saltwater_nitrites)","e_coli (cfu_per_100ml, idexx_colilert_2000_e_coli_geomean)"
58958,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-18,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,"",Reviewed: quality check complete,,7.65,6.8,22.76,36000,14.5,23400,80,0,0,57.14
58959,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-18,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.55,5.78,27,42125,12.4,27313,40,0,0,7.569515364
58960,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-09-23,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 27650μS/cm is below the normal range of 30000.0μS/cm.,7.48,6.9,17.09,27650,15.4,18011.5,,,,23.7
58961,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-24,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 26169μS/cm is below the normal range of 30000.0μS/cm.,7.34,5.92,16.05,26169,15.5,17010.5,40,0,0,9700.67
58962,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-09-24,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Needs review,Review needed: conductivity's result of 25258μS/cm is below the normal range of 30000.0μS/cm.,7.72,8.06,15.44,25258,15.2,16419,,,,16.37319767
58963,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,10,Swim Drink Fish Canada,2019-09-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.48,7.18,23,36313,12.4,23699.5,40,0,0,733.97
58964,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-09-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.59,7.95,22.53,35722,12.3,23221,,,,19.12
58965,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-09-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.66,7.72,24.34,38369,12.2,24947,,,,24.75644745
58966,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-09,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.82,7.97,21.71,34615,11,22496,,,,1911.47
58967,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-09,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.95,7.76,20.52,32989,10.9,21456.5,,,,15.26
58968,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-09,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.97,7.11,23.49,36845,11.2,24050,,,,41.89285762
58969,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-16,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.56,7.6,24.8,38156,11.6,24797.6,,,,776.49
58970,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-16,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.66,8.37,24.37,38435,11.4,24973,,,,85.31
58971,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-16,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.65,7.82,27.09,42164,11.4,27410.5,,,,29.89221627
58972,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-23,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.42,8.26,21.64,34528,11.2,22425,,,,233.84
58973,Fraser Riverkeeper,Vancouver Community Monitoring Program,Brokers Bay ,Pacific Ocean,49.27191,-123.1375,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-23,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.56,8.4,22.09,35178,10.9,22860.5,,,,21.93
58974,Fraser Riverkeeper,Vancouver Community Monitoring Program,Vanier Park ,Pacific Ocean ,49.278553,-123.147244,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-23,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.64,8.22,24.51,38638,11.1,25116,,,,8.955579627
58975,Fraser Riverkeeper,Vancouver Community Monitoring Program,Olympic Village ,Pacific Ocean,49.27237,-123.10345,British Columbia,Canada,Ocean,7,Swim Drink Fish Canada,2019-10-30,17:00,-07:00,2025-08-06,Vancouver Community Monitoring Program form,,Reviewed: quality check complete,,7.36,8.21,24.11,38088,10.3,24700,,,,18.25
